concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.045,0.0004,0.00000008,0.0123,0.21,1.1,318.37
0.00000163,0.01,0.04,0.0123,0.26,1.057,303.81
0.04,0.09,0.00000008,0.0123,0.2,1.1561,328.94
0.00000163,0.01,0.04,0.0123,0.18,1.0495,303.66
0.00000163,0.06,0.00000008,0.0123,0.16,1.1047,317.36
0.00000163,0.02,0.00000008,0.0123,0.35,1.0305,307.5
0.03,0.03,0.00000009,0.0123,0.18,1.1387,324.63
0.00000163,0.01,0.02,0.0123,0.21,1.0546,300.49
0.1,0.04,0.00000008,0.0123,0.21,1.1633,327.95
0.00000163,0.02,0.03,0.0123,0.25,1.0614,307.1
0.00000163,0.05,0.01,0.0123,0.25,1.0952,314.73
0.01,0.02,0.00000008,0.0123,0.24,1.0657,319.66
0.025,0.01,0.00000008,0.0123,0.2,1.1138,320.87
0.02,0.03,0.07,0.0123,0.26,1.1411,323.7
0.00000163,0.01,0.00000008,0.0123,0.16,1.0294,303.84
0.01,0.05,0.00000009,0.0123,0.22,1.0951,324.02
0.02,0.03,0.00000008,0.0123,0.24,1.1276,323.69
0.07,0.04,0.01,0.0123,0.2,1.1486,326.48
0.04,0.05,0.00000008,0.0123,0.21,1.1612,327.19
0.02,0.04,0.01,0.0123,0.26,1.1594,325.49
0.01,0.02,0.02,0.0123,0.31,1.0689,320.38
0.005,0.0004,0.00000009,0.0123,0.21,1.0306,306.22
0.01,0.0004,0.00000008,0.0123,0.29,1.0293,308.42
0.00000163,0.02,0.00000007,0.0123,0.25,1.0306,307.66
0.01,0.0004,0.00000007,0.0123,0.24,1.0294,308.65
0.04,0.01,0.07,0.0123,0.21,1.1145,322.25
0.00000163,0.01,0.00000008,0.0123,0.24,1.0294,302.75
0.01,0.05,0.00000008,0.0123,0.3,1.0958,323.76
0.015,0.0004,0.00000009,0.0123,0.2,1.064,316.4
0.00000163,0.1,0.00000008,0.0123,0.22,1.1155,320.37
0.01,0.0004,0.00000008,0.0123,0.22,1.0306,308.84
0.005,0.05,0.00000008,0.0123,0.24,1.0969,321.33
0.02,0.0004,0.00000008,0.0123,0.02,1.076,311.48
0.01,0.02,0.00000008,0.0123,0.18,1.0683,319.59
0.01,0.09,0.06,0.0123,0.21,1.1379,326.47
0.00000163,0.2,0.00000008,0.0123,0.18,1.1187,323.2
